year	round	pick	player	position	school	allstar_appearance	allstar_by_school	draft_picks
1981	1	20	Nance, Larry	F/C	Clemson	3	1	1
1981	1	21	Lister, Alton	F/C	Arizona State	0	0	1
1981	1	22	Edwards, Franklin	G	Cleveland State	0	0	1
1981	1	23	Bradley, Charles	G	Wyoming	0	0	1
1981	2	24	Vincent, Jay	F	Michigan State	0	0	1
1981	2	25	Jackson, Tracy	G/F	Notre Dame	0	0	1
1981	2	26	Jackson, Brian	F	Utah State	0	0	1
1981	2	27	Wood, Howard	F	Tennessee	0	0	1
1981	2	28	Banks, Gene	G/F	Duke	0	0	1
1981	2	29	Johnson, Eddie	G/F	Illinois	0	0	1
1981	2	30	Rains, Ed	F	South Alabama	0	0	1
1981	2	31	Ainge, Danny	G/F	Brigham Young	0	0	1
1981	2	32	Olliver, Mike	G	Lamar	0	0	1
1981	2	33	Williams, Sam	F	Arizona State	0	0	1
1981	2	34	Green, Ken	F	Pan American	0	0	1
1981	2	35	Davis, Charles	F	Vanderbilt	0	0	1
1981	2	36	Blume, Ray	G	Oregon State	0	0	1
1981	2	37	Leslie, Al	G	Bucknell	0	0	1
1981	2	38	Bradshaw, Clyde	G	DePaul	0	0	1
1981	2	39	Knuckles, Harvey	F	Toledo	0	0	1
1981	2	40	Cook, Greg	F	LSU	0	0	1
1981	2	41	Gregory, Claude	F	Wisconsin	0	0	1
1981	2	42	Rolle, Elvis	F/C	Florida State	0	0	1
1981	2	43	Turner, Elston	G/F	Mississippi	0	0	1
1981	2	44	Lingenfelter, Steve	F	South Dakota State	0	0	1
1981	2	45	Turner, Ed	F	Texas A&I	0	0	1
1981	2	46	Smith, Vernon	F	Texas A&M	0	0	1
1982	1	1	Worthy, James	SF	North Carolina	7	1	1
1982	1	2	Cummings, Terry	PF	DePaul	2	1	1
1982	1	3	Wilkins, Dominique	SF	Georgia	9	1	1
1982	1	4	Garnett, Bill	SF	Wyoming	0	0	1
1982	1	5	Thompson, LaSalle	C/PF	Texas	0	0	1
1982	1	6	Tucker, Trent	SG	Minnesota	0	0	1
1982	1	7	Dailey, Quintin	SG	San Francisco	0	0	1
1982	1	8	Clark Kellogg	PF	Ohio State	0	0	1
1982	1	9	Levingston, Cliff	PF	Wichita State	0	0	1
1982	1	10	Edmonson, Keith	SG	Purdue	0	0	1
1982	1	11	Fat Lever	PG	Arizona State	2	1	1
1982	1	12	Bagley, John	PG	Boston College	0	0	1
1982	1	13	Floyd, Sleepy	SG	Georgetown	1	1	1
1982	1	14	Conner, Lester	PG	Oregon State	0	0	1
1982	1	15	Thirdkill, David	SF	Bradley	0	0	1
1982	1	16	Teagle, Terry	SG	Baylor	0	0	1
1982	1	17	Steppe, Brook	SG	Georgia Tech	0	0	1
1982	1	18	Pierce, Ricky	SF	Rice	1	1	1
1982	1	19	Williams, Rob	PG	Houston	0	0	1
1982	1	20	Pressey, Paul	SF	Tulsa	0	0	1
1982	1	21	Phillips, Eddie	SF	Alabama	0	0	1
1982	1	22	McNamara, Mark	C	California	0	0	1
1982	1	23	Tillis, Darren	C	Cleveland State	0	0	1
1982	2	24	Robinson, Oliver	SG	UAB	0	0	1
1982	2	25	Warrick, Bryan	SG	Saint Joseph's	0	0	1
1982	2	26	Frazier, Ricky	SF	Missouri	0	0	1
1982	2	27	Roberts, Fred	PF	BYU	0	0	1
1982	2	28	Magley, Dave	PF	Kansas	0	0	1
1982	2	29	Hastings, Scott	F/C	Arkansas	0	0	1
1982	2	30	Bryant, Wallace	C	San Francisco	0	0	1
1982	2	31	Higgins, Rod	F/C	Fresno State	0	0	1
1982	2	32	Anderson, Richard	PF	UC Santa Barbara	0	0	1
1982	2	33	Townes, Linton	SF	James Madison	0	0	1
1982	2	34	Taylor, Vince	SF	Duke	0	0	1
1982	2	35	Smith, Derek	SG	Louisville	0	0	1
1982	2	36	Anderson, J. J.	SF	Bradley	0	0	1
1982	2	37	Norris, Audie	C	Jackson State	0	0	1
1982	2	38	Wayne Sappleton	F	Loyola (IL)	0	0	1
1982	2	39	Magee, Kevin	PF	UC Irvine	0	0	1
1982	2	40	Morgan, Guy	G	Wake Forest	0	0	1
1982	2	41	Anderson, Dwight	G	USC	0	0	1
1982	2	42	Taylor, Jeff	SG	Texas Tech	0	0	1
1982	2	43	Slaughter, Jose	SG	Portland	0	0	1
1982	2	44	Gibson, Mike	F	USC Upstate	0	0	1
1982	2	45	Schoene, Russ	F/C	Chattanooga	0	0	1
1982	2	46	Guy, Tony	G	Kansas	0	0	1
1983	1	1	Sampson, Ralph	C	Virginia	4	1	1
1983	1	2	Stipanovich, Steve	C	Missouri	0	0	1
1983	1	3	McCray, Rodney	SF	Louisville	0	0	1
1983	1	4	Scott, Byron	SG	Arizona State	0	0	1
1983	1	5	Green, Sidney	PF	UNLV	0	0	1
1983	1	6	Cross, Russell	C	Purdue	0	0	1
1983	1	7	Bailey, Thurl	PF	NC State	0	0	1
1983	1	8	Carr, Antoine	PF	Wichita State	0	0	1
1983	1	9	Ellis, Dale	SG	Tennessee	1	1	1
1983	1	10	Malone, Jeff	SG	Mississippi State	2	1	1
1983	1	11	Harper, Derek	PG/SG	Illinois	0	0	1
1983	1	12	Walker, Darrell	SG	Arkansas	0	0	1
1983	1	13	Whatley, Ennis	PG	Alabama	0	0	1
1983	1	14	Drexler, Clyde	SG	Houston	10	1	1
1983	1	15	Carter, Howard	SG	LSU	0	0	1
1983	1	16	Sundvold, Jon	PG	Missouri	0	0	1
1983	1	17	Rautins, Leo	SF	Syracuse	0	0	1
1983	1	18	Breuer, Randy	C	Minnesota	0	0	1
1983	1	19	Paxson, John	PG	Notre Dame	0	0	1
1983	1	20	Hinson, Roy	C	Rutgers	0	0	1
1983	1	21	Kite, Greg	C	BYU	0	0	1
1983	1	22	Wittman, Randy	SG	Indiana	0	0	1
1983	1	23	Wiggins, Mitchell	SG	Florida State	0	0	1
1983	1	24	Granger, Stewart	PG	Villanova	0	0	1
1983	2	25	Lowe, Sidney	PG	NC State	0	0	1
1983	2	26	Combs, Leroy	SF	Oklahoma State	0	0	1
1983	2	27	Garris, John	PF	Boston College	0	0	1
1983	2	28	Foster, Rod	PG	UCLA	0	0	1
1983	2	29	Micheaux, Larry	PF	Houston	0	0	1
1983	2	30	West, Mark	C	Old Dominion	0	0	1
1983	2	31	Rivers, Doc	PG	Marquette	1	1	1
1983	2	32	Britt, Michael	SF	UDC	0	0	1
1983	2	33	Minniefield, Dirk	PG	Kentucky	0	0	1
1983	2	34	Williams, Guy	F	Washington State	0	0	1
1983	2	35	Lockhart, Darrell	C	Auburn	0	0	1
1983	2	36	McCray, Scooter	PF	Louisville	0	0	1
1983	2	37	Russell, David	SF	St. John's	0	0	1
1983	2	38	McNealy, Chris	PF	San Jose State	0	0	1
1983	2	39	Waiters, Granville	C	Ohio State	0	0	1
1983	2	40	Thomas, Jim	SG	Indiana	0	0	1
1983	2	41	Kitchel, Ted	SF	Indiana	0	0	1
1983	2	42	Davis, Mike	SG	Alabama	0	0	1
1983	2	43	Mannion, Pace	SF	Utah	0	0	1
1983	2	44	Owens, Horace	SG	Rhode Island	0	0	1
1983	2	45	Williams, Paul	SF	Arizona State	0	0	1
1983	2	46	Williams, Kevin	PG	St. John's	0	0	1
1983	2	47	Lyons, Kenneth	PF	North Texas State	0	0	1
1984	1	1	Olajuwon, Akeem	C	Houston	12	1	1
1984	1	2	Bowie, Sam	C	Kentucky	0	0	1
1984	1	3	Jordan, Michael	G/F	North Carolina	14	1	1
1984	1	4	Perkins, Sam	F/C	North Carolina	0	0	1
1984	1	5	Barkley, Charles	F	Auburn	11	1	1
1984	1	6	Turpin, Melvin	C	Kentucky	0	0	1
1984	1	7	Robertson, Alvin	G	Arkansas	4	1	1
1984	1	8	Gordon, Lancaster	G	Louisville	0	0	1
1984	1	9	Thorpe, Otis	F/C	Providence	1	1	1
1984	1	10	Wood, Leon	G	Cal State Fullerton	0	0	1
1984	1	11	Willis, Kevin	F/C	Michigan State	1	1	1
1984	1	12	McCormick, Tim	C	Michigan	0	0	1
1984	1	13	Humphries, Jay	G	Colorado	0	0	1
1984	1	14	Cage, Michael	F/C	San Diego State	0	0	1
1984	1	15	Stansbury, Terence	G	Temple	0	0	1
1984	1	16	Stockton, John	G	Gonzaga	10	1	1
1984	1	17	Turner, Jeff	F/C	Vanderbilt	0	0	1
1984	1	18	Fleming, Vern	G	Georgia	0	0	1
1984	1	19	Thompson, Bernard	G/F	Fresno State	0	0	1
1984	1	20	Campbell, Tony	G/F	Ohio State	0	0	1
1984	1	21	Fields, Kenny	G/F	UCLA	0	0	1
1984	1	22	Sewell, Tom	G	Lamar	0	0	1
1984	1	23	Jones, Earl	C	UDC	0	0	1
1984	1	24	Young, Michael	G/F	Houston	0	0	1
1984	2	25	Durrant, Devin	F	Brigham Young	0	0	1
1984	2	26	Fleming, Victor	G	Xavier	0	0	1
1984	2	27	Anderson, Ron	G/F	Fresno State	0	0	1
1984	2	28	Blackwell, Cory	F	Wisconsin	0	0	1
1984	2	29	Gray, Stuart	F/C	UCLA	0	0	1
1984	2	30	Burtt, Steve	G	Iona	0	0	1
1984	2	31	Murphy, Jay	F	Boston College	0	0	1
1984	2	32	Turner, Eric	G	Michigan	0	0	1
1984	2	33	Colter, Steve	G	New Mexico State	0	0	1
1984	2	34	Costner, Tony	C	Saint Joseph's	0	0	1
1984	2	35	Wilson, Othell	G	Virginia	0	0	1
1984	2	36	Jones, Charles	F	Louisville	0	0	1
1984	2	37	Coleman, Ben	F	Maryland	0	0	1
1984	2	38	Sitton, Charlie	F	Oregon State	0	0	1
1984	2	39	Young, Danny	G	Wake Forest	0	0	1
1984	2	40	Teachey, Anthony	F	Wake Forest	0	0	1
1984	2	41	Sluby, Tom	G	Notre Dame	0	0	1
1984	2	42	White, Willie	G	Chattanooga	0	0	1
1984	2	43	Wiltjer, Greg	C	Victoria (Canada)	0	0	1
1984	2	44	Reynolds, Fred	F	UTEP	0	0	1
1984	2	45	Plummer, Gary	F/C	Boston University	0	0	1
1984	2	46	Kersey, Jerome	F	Longwood	0	0	1
1984	2	47	Williams, Ronnie	F	Florida	0	0	1
1985	1	1	Ewing, Patrick	C	Georgetown	11	1	1
1985	1	2	Tisdale, Wayman	PF	Oklahoma	0	0	1
1985	1	3	Benjamin, Benoit	C	Creighton	0	0	1
1985	1	4	McDaniel, Xavier	PF	Wichita State	1	1	1
1985	1	5	Koncak, Jon	C	SMU	0	0	1
1985	1	6	Kleine, Joe	C	Arkansas	0	0	1
1985	1	7	Mullin, Chris	SF	St. John's	5	1	1
1985	1	8	Schrempf, Detlef	SF/PF	Washington	3	1	1
1985	1	9	Oakley, Charles	PF	Virginia Union	1	1	1
1985	1	10	Pinckney, Ed	PF	Villanova	0	0	1
1985	1	11	Lee, Keith	C	Memphis State	0	0	1
1985	1	12	Green, Kenny	F	Wake Forest	0	0	1
1985	1	13	Malone, Karl	PF	Louisiana Tech	14	1	1
1985	1	14	Hughes, Alfredrick	SG	Loyola (IL)	0	0	1
1985	1	15	Rasmussen, Blair	C	Oregon	0	0	1
1985	1	16	Wennington, Bill	C	St. John's	0	0	1
1985	1	17	Blab, Uwe	C	Indiana	0	0	1
1985	1	18	Dumars, Joe	SG	McNeese State	6	1	1
1985	1	19	Harris, Steve	SG	Tulsa	0	0	1
1985	1	20	Vincent, Sam	SG	Michigan State	0	0	1
1985	1	21	Catledge, Terry	PF	South Alabama	0	0	1
1985	1	22	Reynolds, Jerry	G/F	LSU	0	0	1
1985	1	23	Green, A. C.	SF/PF	Oregon State	1	1	1
1985	1	24	Porter, Terry	PG	Wisconsin–Stevens Point	2	1	1
1985	2	25	Smrek, Mike	C	Canisius	0	0	1
1985	2	26	Martin, Bill	F	Georgetown	0	0	1
1985	2	27	McClain, Dwayne	SG	Villanova	0	0	1
1985	2	28	Johnson, Ken	F	Michigan State	0	0	1
1985	2	29	Brittain, Mike	C	South Carolina	0	0	1
1985	2	30	Duncan, Calvin	G	VCU	0	0	1
1985	2	31	Bol, Manute	C	Bridgeport	0	0	1
1985	2	32	Vanos, Nick	C	Santa Clara	0	0	1
1985	2	33	Stokes, Greg	F/C	Iowa	0	0	1
1985	2	34	Sherrod, Aubrey	SG	Wichita State	0	0	1
1985	2	35	Corbin, Tyrone	SF/PF	DePaul	0	0	1
1985	2	36	Joseph, Yvon	C	Georgia Tech	0	0	1
1985	2	37	Scurry, Carey	F	LIU Brooklyn	0	0	1
1985	2	38	Martín, Fernando	PF	Real Madrid	0	0	1
1985	2	39	Montgomery, George	F	Illinois	0	0	1
1985	2	40	Acres, Mark	F/C	Oral Roberts	0	0	1
1985	2	41	Charles, Lorenzo	PF	NC State	0	0	1
1985	2	42	Hurt, Bobby Lee	C/F	Alabama	0	0	1
1985	2	43	Stevens, Barry	G/F	Iowa State	0	0	1
1985	2	44	Winters, Voise	SG	Bradley	0	0	1
1985	2	45	Williams, John "Hot Rod"	PF	Tulane	0	0	1
1985	2	46	Branch, Adrian	SF	Maryland	0	0	1
1985	2	47	Wilkins, Gerald	SG	Chattanooga	0	0	1
1986	1	1	Daugherty, Brad	C	North Carolina	5	1	1
1986	1	2	Bias, Len	SF	Maryland	0	0	1
1986	1	3	Washburn, Chris	C	NC State	0	0	1
1986	1	4	Person, Chuck	SF	Auburn	0	0	1
1986	1	5	Walker, Kenny	SF	Kentucky	0	0	1
1986	1	6	Bedford, William	C	Memphis State	0	0	1
1986	1	7	Tarpley, Roy	C	Michigan	0	0	1
1986	1	8	Harper, Ron	SF	Miami (OH)	0	0	1
1986	1	9	Sellers, Brad	C	Ohio State	0	0	1
1986	1	10	Dawkins, Johnny	PG	Duke	0	0	1
1986	1	11	Salley, John	PF	Georgia Tech	0	0	1
1986	1	12	Williams, John	PF	LSU	0	0	1
1986	1	13	Washington, Dwayne	PG	Syracuse	0	0	1
1986	1	14	Berry, Walter	SF/PF	St. John's	0	0	1
1986	1	15	Curry, Dell	SG/SF	Virginia Tech	0	0	1
1986	1	16	Martin, Maurice	SF	Saint Joseph's	0	0	1
1986	1	17	Pressley, Harold	SF	Villanova	0	0	1
1986	1	18	Alarie, Mark	PF	Duke	0	0	1
1986	1	19	Thompson, Billy	SF	Louisville	0	0	1
1986	1	20	Johnson, Buck	SF	Alabama	0	0	1
1986	1	21	Jones, Anthony	SF	UNLV	0	0	1
1986	1	22	Skiles, Scott	PG	Michigan State	0	0	1
1986	1	23	Barlow, Ken	PF	Notre Dame	0	0	1
1986	1	24	Sabonis, Arvydas	C	Zalgiris	0	0	1
1986	2	25	Price, Mark	PG	Georgia Tech	4	1	1
1986	2	26	Dreiling, Greg	C	Kansas	0	0	1
1986	2	27	Rodman, Dennis	PF	Southeastern Oklahoma State	2	1	1
1986	2	28	Krystkowiak, Larry	PF	Montana	0	0	1
1986	2	29	Newman, Johnny	SF	Richmond	0	0	1
1986	2	30	McMillan, Nate	PG	NC State	0	0	1
1986	2	31	Ward, Joe	SF	Georgia	0	0	1
1986	2	32	Henderson, Cedric	PF	Georgia	0	0	1
1986	2	33	Duckworth, Kevin	C	Eastern Illinois	2	1	1
1986	2	34	Rogers, Johnny	PF	UC Irvine	0	0	1
1986	2	35	Wagner, Milt	SG	Louisville	0	0	1
1986	2	36	Mitchell, Steve	PG	UAB	0	0	1
1986	2	37	Fasoulas, Panagiotis	C	NC State	0	0	1
1986	2	38	Lampley, Lemone	C	DePaul	0	0	1
1986	2	39	Addison, Rafael	SF	Syracuse	0	0	1
1986	2	40	Binelli, Augusto	C	Virtus Bologna	0	0	1
1986	2	41	Smith, Otis	SG	Jacksonville	0	0	1
1986	2	42	Kellogg, Ron	SF	Kansas	0	0	1
1986	2	43	Feitl, Dave	C	UTEP	0	0	1
1986	2	44	Wingate, David	SG	Georgetown	0	0	1
1986	2	45	Smith, Keith	PG	Loyola Marymount	0	0	1
1986	2	46	Hornacek, Jeff	SG	Iowa State	1	1	1
1986	2	47	Jackson, Michael	PG	Georgetown	0	0	1
1987	1	1	Robinson, David	C	Navy	10	1	1
1987	1	2	Gilliam, Armen	PF	UNLV	0	0	1
1987	1	3	Hopson, Dennis	SF	Ohio State	0	0	1
1987	1	4	Williams, Reggie	SF	Georgetown	0	0	1
1987	1	5	Pippen, Scottie	SF	Central Arkansas	7	1	1
1987	1	6	Kenny Smith	PG	North Carolina	0	0	1
1987	1	7	Kevin Johnson	PG	California	3	1	1
1987	1	8	Polynice, Olden	C	Virginia	0	0	1
1987	1	9	McKey, Derrick	SF/PF	Alabama	0	0	1
1987	1	10	Horace Grant	PF/C	Clemson	1	1	1
1987	1	11	Reggie Miller	SG	UCLA	5	1	1
1987	1	12	Bogues, Muggsy	PG	Wake Forest	0	0	1
1987	1	13	Wolf, Joe	C	North Carolina	0	0	1
1987	1	14	Frank, Tellis	PF	WKU	0	0	1
1987	1	15	Ortiz, José	PF	Oregon State	0	0	1
1987	1	16	Welp, Christian	C	Washington	0	0	1
1987	1	17	Murphy, Ronnie	SG	Jacksonville	0	0	1
1987	1	18	Jackson, Mark	PG	St. John's	1	1	1
1987	1	19	Norman, Ken	SF	Illinois	0	0	1
1987	1	20	Farmer, Jim	SG	Alabama	0	0	1
1987	1	21	Comegys, Dallas	C	DePaul	0	0	1
1987	1	22	Lewis, Reggie	SG	Northeastern	1	1	1
1987	1	23	Anderson, Greg "Cadillac"	PF	Houston	0	0	1
1987	2	24	Banks, Freddie	SG	UNLV	0	0	1
1987	2	25	Moore, Ron	C	West Virginia State	0	0	1
1987	2	26	Alford, Steve	SG	Indiana	0	0	1
1987	2	27	Blackwell, Nate	PG	Temple	0	0	1
1987	2	28	Winslow, Rickie	SF	Houston	0	0	1
1987	2	29	Fonville, Lester	C	Jackson State	0	0	1
1987	2	30	Wilson, Nikita	SF	LSU	0	0	1
1987	2	31	Moore, Andre	PF	Loyola (IL)	0	0	1
1987	2	32	McCann, Bob	SF	Morehead State	0	0	1
1987	2	33	White, Tony	PG	Tennessee	0	0	1
1987	2	34	Rowsom, Brian	PF	UNC Wilmington	0	0	1
1987	2	35	Lee, Doug	SG	Purdue	0	0	1
1987	2	36	Washington, Duane	SG	Middle Tennessee	0	0	1
1987	2	37	Dowell, Derrick	SF	USC	0	0	1
1987	2	38	Coleman, Norris	SF	Kansas State	0	0	1
1987	2	39	Askew, Vincent	SG/SF	Memphis State	0	0	1
1987	2	40	Garland, Winston	PG	Southwest Missouri State	0	0	1
1987	2	41	Johnson, Kannard	SF	WKU	0	0	1
1987	2	42	Bailey, Terrance	SG	Wagner	0	0	1
1987	2	43	Kennedy, Andrew	F	Virginia	0	0	1
1987	2	44	Coner, Terry	PG	Alabama	0	0	1
1987	2	45	Lohaus, Brad	PF/C	Iowa	0	0	1
1987	2	46	Dalrymple, Bruce	G	Georgia Tech	0	0	1
1988	1	1	Manning, Danny	PF	Kansas	2	1	1
1988	1	2	Smits, Rik	C	Marist	1	1	1
1988	1	3	Smith, Charles	PF	Pittsburgh	0	0	1
1988	1	4	Morris, Chris	SF	Auburn	0	0	1
1988	1	5	Richmond, Mitch	SG	Kansas State	6	1	1
1988	1	6	Hawkins, Hersey	SG	Bradley	1	1	1
1988	1	7	Perry, Tim	F	Temple	0	0	1
1988	1	8	Chapman, Rex	SG	Kentucky	0	0	1
1988	1	9	Seikaly, Rony	C	Syracuse	0	0	1
1988	1	10	Anderson, Willie	SG	Georgia	0	0	1
1988	1	11	Perdue, Will	C	Vanderbilt	0	0	1
1988	1	12	Grant, Harvey	SF	Oklahoma	0	0	1
1988	1	13	Grayer, Jeff	PG	Iowa State	0	0	1
1988	1	14	Majerle, Dan	SF	Central Michigan	3	1	1
1988	1	15	Grant, Gary	PG	Michigan	0	0	1
1988	1	16	Chievous, Derrick	SG	Missouri	0	0	1
1988	1	17	Leckner, Eric	C	Wyoming	0	0	1
1988	1	18	Berry, Ricky	SG	San Jose State	0	0	1
1988	1	19	Strickland, Rod	PG	DePaul	0	0	1
1988	1	20	Edwards, Kevin	SG	DePaul	0	0	1
1988	1	21	Bryant, Mark	PF	Seton Hall	0	0	1
1988	1	22	Keys, Randolph	SF	Southern Miss	0	0	1
1988	1	23	Lane, Jerome	PF	Pittsburgh	0	0	1
1988	1	24	Shaw, Brian	SG	UC Santa Barbara	0	0	1
1988	1	25	Rivers, David	PG	Notre Dame	0	0	1
1988	2	26	Ferreira, Rolando	C	Houston	0	0	1
1988	2	27	Jones, Shelton	F	St. John's	0	0	1
1988	2	28	Lang, Andrew	C	Arkansas	0	0	1
1988	2	29	Del Negro, Vinny	SG	NC State	0	0	1
1988	2	30	Dembo, Fennis	PF	Wyoming	0	0	1
1988	2	31	Stephens, Everette	G	Purdue	0	0	1
1988	2	32	Shackleford, Charles	F/C	NC State	0	0	1
1988	2	33	Long, Grant	F	Eastern Michigan	0	0	1
1988	2	34	Tolbert, Tom	F/C	Arizona	0	0	1
1988	2	35	Gray, Sylvester	F	Memphis State	0	0	1
1988	2	36	Eackles, Ledell	G/F	New Orleans	0	0	1
1988	2	37	Butler, Greg	C	Stanford	0	0	1
1988	2	38	Garrett, Dean	C	Indiana	0	0	1
1988	2	39	Horford, Tito	C	Miami (FL)	0	0	1
1988	2	40	Graham, Orlando	F	Auburn-Montgomery	0	0	1
1988	2	41	Smart, Keith	G	Indiana	0	0	1
1988	2	42	Moe, Jeff	SG	Iowa	0	0	1
1988	2	43	Mitchell, Todd	F	Purdue	0	0	1
1988	2	44	Taylor, Anthony	G	Oregon	0	0	1
1988	2	45	Garrick, Tom	G	Rhode Island	0	0	1
1988	2	46	Wiley, Morlon	G	Long Beach State	0	0	1
1988	2	47	Maxwell, Vernon	SG	Florida	0	0	1
1988	2	48	Williams, Micheal	G	Baylor	0	0	1
1988	2	49	Vargas, José	C/PF	LSU	0	0	1
1988	2	50	Kerr, Steve	PG	Arizona	0	0	1
1989	1	1	Pervis Ellison	PF	Louisville	0	0	1
1989	1	2	Danny Ferry	PF	Duke	0	0	1
1989	1	3	Sean Elliott	SF/SG	Arizona	2	1	1
1989	1	4	Glen Rice	SF	Michigan	3	1	1
1989	1	5	J. R. Reid	PF/C	North Carolina	0	0	1
1989	1	6	Stacey King	C	Oklahoma	0	0	1
1989	1	7	George McCloud	SG/SF	Florida State	0	0	1
1989	1	8	Randy White	PF	Louisiana Tech	0	0	1
1989	1	9	Tom Hammonds	PF/C	Georgia Tech	0	0	1
1989	1	10	Pooh Richardson	PG	UCLA	0	0	1
1989	1	11	Nick Anderson	SF/SG	Illinois	0	0	1
1989	1	12	Mookie Blaylock	PG	Oklahoma	1	1	1
1989	1	13	Michael Smith	PF	BYU	0	0	1
1989	1	14	Tim Hardaway*	PG	UTEP	5	1	1
1989	1	15	Todd Lichti	SG	Stanford	0	0	1
1989	1	16	Dana Barros	PG	Boston College	1	1	1
1989	1	17	Shawn Kemp	PF/C	Trinity Valley CC	6	1	1
1989	1	18	B. J. Armstrong	PG	Iowa	1	1	1
1989	1	19	Kenny Payne	PF	Louisville	0	0	1
1989	1	20	Jeff Sanders	PF/C	Georgia Southern	0	0	1
1989	1	21	Blue Edwards	SF/SG	East Carolina	0	0	1
1989	1	22	Byron Irvin	SG	Missouri	0	0	1
1989	1	23	Roy Marble	SG/SF	Iowa	0	0	1
1989	1	24	Anthony Cook	PF/C	Arizona	0	0	1
1989	1	25	John Morton	PG	Seton Hall	0	0	1
1989	1	26	Vlade Divac	C	KK Partizan	1	1	1
1989	1	27	Kenny Battle	PF	Illinois	0	0	1
1989	2	28	Sherman Douglas	G	Syracuse	0	0	1
1989	2	29	Dyron Nix	F	Tennessee	0	0	1
1989	2	30	Frank Kornet	F	Vanderbilt	0	0	1
1989	2	31	Jeff Martin	G	Murray State	0	0	1
